Sampling_date,Plot,Treat,Rep,Conduct_microS_cm,Temp_10_cm,pH_soil,Redox_pot,Water_temp,O2_percent,O2_mg_l,Salinity,pH_water,obs
2023-08-16,P12,CON,4,1.2,26.6,7.1,-244,27.9,,4.49,0.84,7.33,
2023-08-16,P13,MSD,5,1.15,26.9,7,-237.4,27.5,,4.87,0.84,7.37,
2023-08-16,P14,AWD,5,1.22,26.6,7.2,-128.4,28.1,,7.67,0.9,7.64,
2023-08-16,P15,CON,5,1.11,27.2,7.1,-226.4,27.6,,4.1,0.85,7.39,
2023-08-24,P01,AWD,1,1.12,26.9,7.2,-370,25.7,33.5,2.74,0.85,7.36,
2023-08-24,P02,MSD,1,1.1,26.9,7.1,-320,25.8,39.5,3.14,0.85,7.45,
2023-08-24,P03,CON,1,1.08,26.9,7.1,-312,25.4,31,2.51,0.84,7.41,
2023-08-24,P04,MSD,2,0.98,27.1,7.1,-310,26.2,31.1,2.5,0.84,7.43,
2023-08-24,P05,AWD,2,1.18,27.1,7.1,-290,25.9,28.8,2.33,0.85,7.33,
2023-08-24,P06,CON,2,1.09,27,7.1,-315,26.3,39.1,3.24,0.84,7.44,
2023-08-24,P07,MSD,3,1.33,27.2,7.1,-324,26,31.5,2.54,0.84,7.46,
2023-08-24,P08,CON,3,1.04,26.8,6.9,-311,26,64.6,5.16,0.85,7.45,
2023-08-24,P09,AWD,3,1.08,27.1,7,-189,25.9,54.2,4.37,0.84,7.41,
2023-08-24,P10,AWD,4,1.19,26.9,7,-340,26.2,31.5,2.53,0.84,7.44,
2023-08-24,P11,MSD,4,1.15,27.2,7.1,-292,25.8,28.2,2.27,0.85,7.38,
2023-08-24,P12,CON,4,1.07,27.3,7.1,-355,26,29.2,2.36,0.84,7.32,
2023-08-24,P13,MSD,5,1.23,27.5,7,-390,26,32,2.58,0.84,7.35,
2023-08-24,P14,AWD,5,1.25,26.9,7.2,-290,26.3,53.3,4.28,0.83,7.42,
2023-08-24,P15,CON,5,1.01,27.2,7.1,-375,26.1,19,1.54,0.84,7.37,
2023-08-31,P01,AWD,1,1.28,22.3,7.3,-99,23.4,192,16.29,0.79,8.55,
2023-08-31,P02,MSD,1,1.04,22,7.1,-394,21.6,75.7,6.6,0.8,7.82,
2023-08-31,P03,CON,1,1.15,22.5,7.2,-307,22.5,89,7.69,0.78,8.08,
2023-08-31,P04,MSD,2,1.06,22.8,7.1,-313,22.9,75,6.43,0.79,7.78,
2023-08-31,P05,AWD,2,1.32,21.7,7.1,-287,22.4,130,11.3,0.8,8.14,
2023-08-31,P06,CON,2,0.98,22.2,7.3,-364,22.7,133,11.42,0.78,8.33,
2023-08-31,P07,MSD,3,1.41,22.7,7,-315,24,93.7,7.87,0.78,8.08,
2023-08-31,P08,CON,3,1.09,27.5,7.2,-350,22.6,191,16.43,0.77,8.62,
2023-08-31,P09,AWD,3,1.11,21.5,7.1,-253,23.1,169,14.45,0.77,8.23,
2023-08-31,P10,AWD,4,1,21.9,7.2,-293,23.7,160,13.34,0.79,8.38,
2023-08-31,P11,MSD,4,1.16,22.2,7.1,-342,22.9,68,5.81,0.79,7.83,
2023-08-31,P12,CON,4,1.08,22.4,7,-396,23.5,122.5,10.32,0.78,8.29,
2023-08-31,P13,MSD,5,1.03,22,7,-326,22,59.6,5.2,0.79,7.69,
2023-08-31,P14,AWD,5,1.1,22.4,7.3,-385,23.1,133,11.28,0.77,8.42,
2023-08-31,P15,CON,5,1.09,22.3,7.1,-378,21.7,89.1,4.28,0.8,7.55,
2023-09-07,P01,AWD,1,1.52,23.6,7.4,-132,,,,,,It was measured the day before from gas measurement (06/09/2023)
2023-09-07,P02,MSD,1,1.13,23.7,7.1,-375,,,,,,It was measured the day before from gas measurement (06/09/2023)
2023-09-07,P03,CON,1,1.24,23.4,7.3,-371,,,,,,It was measured the day before from gas measurement (06/09/2023)
2023-09-07,P04,MSD,2,0.89,23.8,7.5,-344,,,,,,It was measured the day before from gas measurement (06/09/2023)
2023-09-07,P05,AWD,2,1.1,23,7.2,-363,,,,,,It was measured the day before from gas measurement (06/09/2023)
2023-09-07,P06,CON,2,0.88,23.9,7.4,-367,,,,,,It was measured the day before from gas measurement (06/09/2023)
2023-09-07,P07,MSD,3,1.41,23.5,7.2,-395,,,,,,It was measured the day before from gas measurement (06/09/2023)
2023-09-07,P08,CON,3,1.01,23.3,7.3,-377,,,,,,It was measured the day before from gas measurement (06/09/2023)
2023-09-07,P09,AWD,3,1.22,23.2,7.3,-379,,,,,,It was measured the day before from gas measurement (06/09/2023)
2023-09-07,P10,AWD,4,1.1,23.6,7.2,-379,,,,,,It was measured the day before from gas measurement (06/09/2023)
2023-09-07,P11,MSD,4,1.16,23.4,7.3,-380,,,,,,It was measured the day before from gas measurement (06/09/2023)
2023-09-07,P12,CON,4,1.16,23.8,7.1,-361,,,,,,It was measured the day before from gas measurement (06/09/2023)
2023-09-07,P13,MSD,5,1.03,23.4,7,-341,,,,,,It was measured the day before from gas measurement (06/09/2023)
2023-09-07,P14,AWD,5,1.3,23.8,7.3,-339,,,,,,It was measured the day before from gas measurement (06/09/2023)
2023-09-07,P15,CON,5,1.1,23.6,7.2,-400,,,,,,It was measured the day before from gas measurement (06/09/2023)
2023-09-14,P01,AWD,1,1.26,14.8,6.9,-170,,,,,,Poca aigua
2023-09-14,P02,MSD,1,1.2,24.1,7,-428,,,,,,Poca aigua
2023-09-14,P03,CON,1,1.15,24.7,7,-43,,,,,,Poca aigua
2023-09-14,P04,MSD,2,1.14,23.9,7.1,-320,,,,,,Poca aigua
2023-09-14,P05,AWD,2,1.06,24.2,7,-351,,,,,,Poca aigua
2023-09-14,P06,CON,2,1.02,23.9,7,-429,,,,,,Poca aigua
2023-09-14,P07,MSD,3,1.2,24.1,7,-452,,,,,,Poca aigua
2023-09-14,P08,CON,3,1.15,23.7,7,-372,,,,,,Poca aigua
2023-09-14,P09,AWD,3,1.37,23.9,7,-345,,,,,,Poca aigua
2023-09-14,P10,AWD,4,1.16,23.7,7,-350,,,,,,Poca aigua
2023-09-14,P11,MSD,4,1.26,23.9,7,-353,,,,,,Poca aigua
2023-09-14,P12,CON,4,1.12,23.8,7,-454,,,,,,Poca aigua
2023-09-14,P13,MSD,5,1.32,24.2,7,-428,,,,,,Poca aigua
2023-09-14,P14,AWD,5,1.23,23.9,7,-397,,,,,,Poca aigua
2023-09-14,P15,CON,5,1.29,24,7,-346,,,,,,Poca aigua
2023-09-21,P01,AWD,1,1.1,22,,-160,,,,,,Sense aigua
2023-09-21,P02,MSD,1,1.09,21.6,,-211,,,,,,Sense aigua
2023-09-21,P03,CON,1,1.11,22,,-200,,,,,,Sense aigua
2023-09-21,P04,MSD,2,0.84,21.4,,-302,,,,,,Sense aigua
2023-09-21,P05,AWD,2,1.12,21.6,,-187,,,,,,Sense aigua
2023-09-21,P06,CON,2,0.94,21.5,,-217,,,,,,Sense aigua
2023-09-21,P07,MSD,3,1.19,21.5,,-175,,,,,,Sense aigua
2023-09-21,P08,CON,3,0.99,21.5,,-102,,,,,,Sense aigua
2023-09-21,P09,AWD,3,1.46,21.4,,-271,,,,,,Sense aigua
2023-09-21,P10,AWD,4,0.9,21.7,,-101,,,,,,Sense aigua
2023-09-21,P11,MSD,4,1.2,21.6,,-236,,,,,,Sense aigua
2023-09-21,P12,CON,4,1.1,21.7,,-151,,,,,,Sense aigua
2023-09-21,P13,MSD,5,1.15,21.6,,-150,,,,,,Sense aigua
2023-09-21,P14,AWD,5,1.1,21.2,,-205,,,,,,Sense aigua
2023-09-21,P15,CON,5,1.04,21.6,,-221,,,,,,Sense aigua
2023-09-27,P01,AWD,1,1.3,22.9,,,,,,,,
2023-09-27,P02,MSD,1,1.11,21.6,,,,,,,,
2023-09-27,P03,CON,1,0.98,22,,,,,,,,
2023-09-27,P04,MSD,2,1.02,22.5,,,,,,,,
2023-09-27,P05,AWD,2,1.16,21.7,,,,,,,,
2023-09-27,P06,CON,2,1.04,21.7,,,,,,,,
2023-09-27,P07,MSD,3,1.27,21.2,,,,,,,,
2023-09-27,P08,CON,3,0.95,21.5,,,,,,,,
2023-09-27,P09,AWD,3,1.16,21.2,,,,,,,,
2023-09-27,P10,AWD,4,1.08,21.4,,,,,,,,
2023-09-27,P11,MSD,4,1.09,21.3,,,,,,,,
2023-09-27,P12,CON,4,1.07,21.6,,,,,,,,
2023-09-27,P13,MSD,5,1.11,21.5,,,,,,,,
2023-09-27,P14,AWD,5,1.11,21.5,,,,,,,,
2023-09-27,P15,CON,5,1.24,21.6,,,,,,,,
2023-10-10,P01,AWD,1,1.7,26.5,7,-304,,,,,,Only soil physchem for fallow season
2023-10-10,P02,MSD,1,1.67,23.6,6.9,-297,,,,,,Only soil physchem for fallow season
2023-10-10,P03,CON,1,1.68,23.4,6.9,-138,,,,,,Only soil physchem for fallow season
2023-10-10,P04,MSD,2,1.68,23.4,7,-258,,,,,,Only soil physchem for fallow season
2023-10-10,P05,AWD,2,1.95,24.3,6.9,-187,,,,,,Only soil physchem for fallow season
2023-10-10,P06,CON,2,1.59,25.2,6.8,-231,,,,,,Only soil physchem for fallow season
2023-10-10,P07,MSD,3,1.57,26.3,7,-290,,,,,,Only soil physchem for fallow season
2023-10-10,P08,CON,3,1.28,25.3,6.8,-244,,,,,,Only soil physchem for fallow season
2023-10-10,P09,AWD,3,1.29,25.8,6.9,-262,,,,,,Only soil physchem for fallow season
2023-10-10,P10,AWD,4,,,,,,,,,,Only soil physchem for fallow season
2023-10-10,P11,MSD,4,,,,,,,,,,Only soil physchem for fallow season
2023-10-10,P12,CON,4,,,,,,,,,,Only soil physchem for fallow season
2023-10-10,P13,MSD,5,,,,,,,,,,Only soil physchem for fallow season
2023-10-10,P14,AWD,5,,,,,,,,,,Only soil physchem for fallow season
2023-10-10,P15,CON,5,,,,,,,,,,Only soil physchem for fallow season
2023-10-23,P01,AWD,1,1.25,20,7.5,-104,,,,,,Only soil physchem for fallow season
2023-10-23,P02,MSD,1,1.01,18.9,7.3,-225,,,,,,Only soil physchem for fallow season
2023-10-23,P03,CON,1,1.04,19.5,6.9,-137,,,,,,Only soil physchem for fallow season
2023-10-23,P04,MSD,2,1.23,18.7,6.8,-216,,,,,,Only soil physchem for fallow season
2023-10-23,P05,AWD,2,1.08,19.4,7.1,-158,,,,,,Only soil physchem for fallow season
2023-10-23,P06,CON,2,1.35,18.8,7,-233,,,,,,Only soil physchem for fallow season
2023-10-23,P07,MSD,3,1.26,19.3,6.9,-186,,,,,,Only soil physchem for fallow season
2023-10-23,P08,CON,3,1.2,18.9,7.1,-164,,,,,,Only soil physchem for fallow season
2023-10-23,P09,AWD,3,1.37,19.3,7.2,-196,,,,,,Only soil physchem for fallow season
2023-10-23,P10,AWD,4,1.28,19.1,6.8,-141,,,,,,Only soil physchem for fallow season
2023-10-23,P11,MSD,4,1.24,19.1,6.8,-104,,,,,,Only soil physchem for fallow season
2023-10-23,P12,CON,4,1.15,19.1,7,-131,,,,,,Only soil physchem for fallow season
2023-10-23,P13,MSD,5,1.29,19.2,6.9,-171,,,,,,Only soil physchem for fallow season
2023-10-23,P14,AWD,5,1.34,19.3,7.2,-188,,,,,,Only soil physchem for fallow season
2023-10-23,P15,CON,5,1.36,19.3,7.1,-138,,,,,,Only soil physchem for fallow season
2023-10-27,P01,AWD,1,1.18,16.6,7.2,-49,,,,,,Pot. Redox raro
2023-10-27,P02,MSD,1,1.18,15.8,7.2,-87,,,,,,Pot. Redox raro
2023-10-27,P03,CON,1,1.19,16,7.3,-86,,,,,,Pot. Redox raro
2023-10-27,P04,MSD,2,1.1,15.8,7,-101,,,,,,Pot. Redox raro
2023-10-27,P05,AWD,2,1.37,15.9,7.2,-92,,,,,,Pot. Redox raro
2023-10-27,P06,CON,2,1.35,15.9,6.9,-88,,,,,,Pot. Redox raro
2023-10-27,P07,MSD,3,1.41,16.1,7,-87,,,,,,Pot. Redox raro
2023-10-27,P08,CON,3,1.27,16,7,-72,,,,,,Pot. Redox raro
2023-10-27,P09,AWD,3,1.17,15.9,6.9,-83,,,,,,Pot. Redox raro
2023-10-27,P10,AWD,4,,,,,,,,,,Only soil physchem for fallow season
2023-10-27,P11,MSD,4,,,,,,,,,,Only soil physchem for fallow season
2023-10-27,P12,CON,4,,,,,,,,,,Only soil physchem for fallow season
2023-10-27,P13,MSD,5,,,,,,,,,,Only soil physchem for fallow season
2023-10-27,P14,AWD,5,,,,,,,,,,Only soil physchem for fallow season
2023-10-27,P15,CON,5,,,,,,,,,,Only soil physchem for fallow season
2023-11-03,P01,AWD,1,1.49,15.3,7,-71,,,,,,Only soil physchem for fallow season
2023-11-03,P02,MSD,1,1.32,15.4,6.7,-112,,,,,,Only soil physchem for fallow season
2023-11-03,P03,CON,1,1.55,14.9,6.6,-107,,,,,,Only soil physchem for fallow season
2023-11-03,P04,MSD,2,1.19,15,6.8,-120,,,,,,Only soil physchem for fallow season
2023-11-03,P05,AWD,2,1.16,15.2,6.9,-82,,,,,,Only soil physchem for fallow season
2023-11-03,P06,CON,2,1.75,15.2,6.8,-93,,,,,,Only soil physchem for fallow season
2023-11-03,P07,MSD,3,1.49,15.2,6.7,-90,,,,,,Only soil physchem for fallow season
2023-11-03,P08,CON,3,1.24,15.8,6.9,-76,,,,,,Only soil physchem for fallow season
2023-11-03,P09,AWD,3,1.35,15.4,7,-71,,,,,,Only soil physchem for fallow season
2023-11-03,P10,AWD,4,,,,,,,,,,Only soil physchem for fallow season
2023-11-03,P11,MSD,4,,,,,,,,,,Only soil physchem for fallow season
2023-11-03,P12,CON,4,,,,,,,,,,Only soil physchem for fallow season
2023-11-03,P13,MSD,5,,,,,,,,,,Only soil physchem for fallow season
2023-11-03,P14,AWD,5,,,,,,,,,,Only soil physchem for fallow season
2023-11-03,P15,CON,5,,,,,,,,,,Only soil physchem for fallow season
2023-11-09,P01,AWD,1,1.51,16.6,7,-117,,,,,,It was measured the next day from gas measurement (11/10/2023)
2023-11-09,P02,MSD,1,1.47,16.2,7,-185,,,,,,It was measured the next day from gas measurement (11/10/2023)
2023-11-09,P03,CON,1,1.28,16.7,6.9,-166,,,,,,It was measured the next day from gas measurement (11/10/2023)
2023-11-09,P04,MSD,2,1.45,18.9,6.8,-201,,,,,,It was measured the next day from gas measurement (11/10/2023)
2023-11-09,P05,AWD,2,1.47,17,6.9,-150,,,,,,It was measured the next day from gas measurement (11/10/2023)
2023-11-09,P06,CON,2,1.54,18.4,6.7,-117,,,,,,It was measured the next day from gas measurement (11/10/2023)
2023-11-09,P07,MSD,3,1.22,17.1,6.7,-131,,,,,,It was measured the next day from gas measurement (11/10/2023)
2023-11-09,P08,CON,3,1.81,18,6.7,-229,,,,,,It was measured the next day from gas measurement (11/10/2023)
2023-11-09,P09,AWD,3,1.21,18.5,6.8,-120,,,,,,It was measured the next day from gas measurement (11/10/2023)
2023-11-09,P10,AWD,4,,,,,,,,,,It was measured the next day from gas measurement (11/10/2023)
2023-11-09,P11,MSD,4,,,,,,,,,,It was measured the next day from gas measurement (11/10/2023)
2023-11-09,P12,CON,4,,,,,,,,,,It was measured the next day from gas measurement (11/10/2023)
2023-11-09,P13,MSD,5,,,,,,,,,,It was measured the next day from gas measurement (11/10/2023)
2023-11-09,P14,AWD,5,,,,,,,,,,It was measured the next day from gas measurement (11/10/2023)
2023-11-09,P15,CON,5,,,,,,,,,,It was measured the next day from gas measurement (11/10/2023)
2023-11-15,P01,AWD,1,1.52,19.4,7,-131,,,,,,Only soil physchem for fallow season
2023-11-15,P02,MSD,1,1.16,19,6.9,-161,,,,,,Only soil physchem for fallow season
2023-11-15,P03,CON,1,1.7,19.3,6.8,-120,,,,,,Only soil physchem for fallow season
2023-11-15,P04,MSD,2,1.26,20.1,6.9,-160,,,,,,Only soil physchem for fallow season
2023-11-15,P05,AWD,2,1.33,18.5,6.8,-118,,,,,,Only soil physchem for fallow season
2023-11-15,P06,CON,2,1.4,19.2,7,-109,,,,,,Only soil physchem for fallow season
2023-11-15,P07,MSD,3,1.55,18.8,6.9,-153,,,,,,Only soil physchem for fallow season
2023-11-15,P08,CON,3,1.34,21,6.9,-133,,,,,,Only soil physchem for fallow season
2023-11-15,P09,AWD,3,1.41,19.4,6.8,-112,,,,,,Only soil physchem for fallow season
2023-11-15,P10,AWD,4,,,,,,,,,,Only soil physchem for fallow season
2023-11-15,P11,MSD,4,,,,,,,,,,Only soil physchem for fallow season
2023-11-15,P12,CON,4,,,,,,,,,,Only soil physchem for fallow season
2023-11-15,P13,MSD,5,,,,,,,,,,Only soil physchem for fallow season
2023-11-15,P14,AWD,5,,,,,,,,,,Only soil physchem for fallow season
2023-11-15,P15,CON,5,,,,,,,,,,Only soil physchem for fallow season
2023-12-05,P01,AWD,1,1.43,10.4,7,-139,,,,,,Only soil physchem for fallow season
2023-12-05,P02,MSD,1,1.26,10.3,7.1,-156.6,,,,,,Only soil physchem for fallow season
2023-12-05,P03,CON,1,1.78,10.1,7.1,-153.4,,,,,,Only soil physchem for fallow season
2023-12-05,P04,MSD,2,1.68,10,7.1,-203.4,,,,,,Only soil physchem for fallow season
2023-12-05,P05,AWD,2,1.49,9.7,7.1,-143,,,,,,Only soil physchem for fallow season
2023-12-05,P06,CON,2,1.48,9.6,7.1,-175,,,,,,Only soil physchem for fallow season
2023-12-05,P07,MSD,3,1.41,9.4,7.1,-160,,,,,,Only soil physchem for fallow season
2023-12-05,P08,CON,3,1.4,9.4,7.1,-158,,,,,,Only soil physchem for fallow season
2023-12-05,P09,AWD,3,1.45,9.4,7.1,-270,,,,,,Only soil physchem for fallow season
2023-12-05,P10,AWD,4,,,,,,,,,,Only soil physchem for fallow season
2023-12-05,P11,MSD,4,,,,,,,,,,Only soil physchem for fallow season
2023-12-05,P12,CON,4,,,,,,,,,,Only soil physchem for fallow season
2023-12-05,P13,MSD,5,,,,,,,,,,Only soil physchem for fallow season
2023-12-05,P14,AWD,5,,,,,,,,,,Only soil physchem for fallow season
2023-12-05,P15,CON,5,,,,,,,,,,Only soil physchem for fallow season
2023-12-12,P01,AWD,1,1.54,14,7.2,-81,,,,,,Only soil physchem for fallow season
2023-12-12,P02,MSD,1,1.34,13.7,6.9,-89,,,,,,Only soil physchem for fallow season
2023-12-12,P03,CON,1,1.14,13.4,6.9,-102,,,,,,Only soil physchem for fallow season
2023-12-12,P04,MSD,2,1.07,13.3,7.1,-136,,,,,,Only soil physchem for fallow season
2023-12-12,P05,AWD,2,1.38,13.2,7.2,-131,,,,,,Only soil physchem for fallow season
2023-12-12,P06,CON,2,1.44,13.1,7,-127,,,,,,Only soil physchem for fallow season
2023-12-12,P07,MSD,3,1.44,13.1,7,-94,,,,,,Only soil physchem for fallow season
2023-12-12,P08,CON,3,1.44,13.1,7.3,-120,,,,,,Only soil physchem for fallow season
2023-12-12,P09,AWD,3,1.33,13.1,7.3,-123,,,,,,Only soil physchem for fallow season
2023-12-12,P10,AWD,4,,,,,,,,,,Only soil physchem for fallow season
2023-12-12,P11,MSD,4,,,,,,,,,,Only soil physchem for fallow season
2023-12-12,P12,CON,4,,,,,,,,,,Only soil physchem for fallow season
2023-12-12,P13,MSD,5,,,,,,,,,,Only soil physchem for fallow season
2023-12-12,P14,AWD,5,,,,,,,,,,Only soil physchem for fallow season
2023-12-12,P15,CON,5,,,,,,,,,,Only soil physchem for fallow season
